0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.468895282,0.401378744,0.359977914,0.501946917,0.584758674,0.387154932,0.392656808,0.052337116,0.010370007,0.00404,0.180027035,0.167745098,0.255138554,0.475270831,0.705171644,0.473005291,0.081882999,1
0.469931961,0.401768612,0.358725789,0.499185649,0.58218676,0.383390342,0.396736359,0.049471352,0.008888525,0.0003372,0.180035065,0.166734641,0.255201632,0.470557078,0.700379432,0.479689889,0.082284332,1
0.408751845,0.337303329,0.282181758,0.548859718,0.607959301,0.408157007,0.476797552,0.049320523,0.018666306,0.03344,0.181149733,0.16748366,0.254751917,0.4567827,0.709348874,0.50122965,0.108692042,1
0.667872792,0.610861687,0.624112845,0.295722126,0.463932339,0.197715543,0.152983172,0.00580616,0.000932966,0.0003492,0.180035918,0.16668415,0.255202717,0.588280492,0.280973875,0.537891055,0.107244475,1
0.668413209,0.607237137,0.636708979,0.569453593,0.648970696,0.344770523,0.173380928,0.00022697,0.016444083,0.01576,0.180320559,0.166709395,0.25556736,0.563117156,0.755942401,0.206572134,0.050792148,1
0.786891272,0.731887332,0.734692345,0.40433157,0.54464488,0.249013924,0.115757267,0.004569357,0.009332969,0.001804,0.180042365,0.166813725,0.255216539,0.489831057,0.660736353,0.271582104,0.053831208,2
0.789016521,0.733072914,0.734995101,0.402205288,0.544125603,0.249517644,0.114227435,0.00443361,0.009332969,0.001816,0.180042395,0.166810458,0.255216813,0.488218761,0.663321014,0.271864393,0.052887383,2
0.790088108,0.733749972,0.735814072,0.400722353,0.544354894,0.247024939,0.113717491,0.004328029,0.009332969,0.001812,0.180042305,0.166808824,0.255216867,0.484565052,0.664846864,0.276482637,0.054332182,2
0.791809743,0.735277299,0.736841766,0.398150421,0.54299044,0.249034947,0.112697603,0.004222448,0.009332969,0.001812,0.180042157,0.166804739,0.255217032,0.483828765,0.666964488,0.271356273,0.052414087,2
0.377743549,0.305699232,0.282332383,0.601868448,0.660402694,0.492534453,0.365629781,0.02217118,0.101481151,0.1056,0.193642305,0.158872549,0.26626506,0.491801372,0.741783329,0.52041851,0.096333754,2
0.354769423,0.304753104,0.256342878,0.567696604,0.642499178,0.416716984,0.361550229,0.158370382,0.010740377,0.03448,0.179165181,0.172344771,0.255656079,0.389820175,0.878663054,0.219677107,0.016781254,3
0.355138318,0.30557025,0.257246413,0.569388273,0.642037916,0.415068218,0.360530342,0.158370382,0.011184822,0.03376,0.179174094,0.172320261,0.255652245,0.394326969,0.874416203,0.215187587,0.016518312,3
0.355397582,0.305210191,0.257149798,0.569012593,0.641433551,0.416656335,0.360530342,0.159878679,0.01133297,0.03316,0.179191919,0.172303922,0.255649507,0.391747315,0.875724488,0.222170281,0.017296067,3
0.357117141,0.306445457,0.25582193,0.568452724,0.640932816,0.416646755,0.359510454,0.161386976,0.011555192,0.03232,0.179224599,0.172017974,0.255690033,0.392836571,0.874210242,0.213408038,0.015073513,3
0.355799875,0.307055101,0.257965756,0.567120357,0.640795633,0.414936223,0.358490566,0.161386976,0.012295933,0.03144,0.179230541,0.171723856,0.255673056,0.392274168,0.874276962,0.212274367,0.015580023,3
0.75971533,0.736077104,0.733421499,0.811475701,0.887079843,0.78270256,0.078021418,0.065459299,0.024740382,0.00836,0.179956922,0.163120915,0.254938116,0.513797253,0.822137002,0.843363617,0.820543266,4
0.761093921,0.739602482,0.732261255,0.811554909,0.886195813,0.785370293,0.073941866,0.065157639,0.027629272,0.0078,0.179958408,0.163349673,0.254950712,0.511524769,0.822868017,0.855100054,0.830637483,4
0.762901034,0.742172186,0.734624133,0.810706862,0.885918778,0.784425608,0.069352371,0.06500681,0.030814459,0.00724,0.179963458,0.163594771,0.254966046,0.509736013,0.824083475,0.844314366,0.823192064,4
0.763612784,0.744050608,0.737032629,0.811104168,0.885677816,0.784109892,0.06527282,0.06500681,0.033999645,0.00668,0.179969994,0.163839869,0.254980832,0.507975182,0.825058162,0.852263617,0.828370643,4
0.769696057,0.745101168,0.738006098,0.804451223,0.885622831,0.784194242,0.061193269,0.06485598,0.037555202,0.00608,0.179978907,0.164101307,0.254997809,0.500195521,0.827373044,0.857857451,0.825422922,4
